"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"1","Christian McCaffrey",SF,"RB1","3 out of 5 stars","3 out of 5 stars","+6"
"2","Jaxon Smith-Njigba",SEA,"WR1","3 out of 5 stars","3 out of 5 stars","+31"
"3","Jahmyr Gibbs",DET,"RB2","3 out of 5 stars","2 out of 5 stars","+1"
"4","De'Von Achane",MIA,"RB3","4 out of 5 stars","3 out of 5 stars","+10"
"5","Bijan Robinson",ATL,"RB4","3 out of 5 stars","3 out of 5 stars","-3"
"6","Puka Nacua",LAR,"WR2","3 out of 5 stars","4 out of 5 stars","+6"
"7","Ja'Marr Chase",CIN,"WR3","4 out of 5 stars","4 out of 5 stars","-6"
"8","Amon-Ra St. Brown",DET,"WR4","2 out of 5 stars","2 out of 5 stars","+1"
"9","CeeDee Lamb",DAL,"WR5","3 out of 5 stars","2 out of 5 stars","-4"
"10","James Cook III",BUF,"RB5","2 out of 5 stars","2 out of 5 stars","+18"
"11","Nico Collins",HOU,"WR6","2 out of 5 stars","2 out of 5 stars","+2"
"12","Jonathan Taylor",IND,"RB6","3 out of 5 stars","2 out of 5 stars","+6"
"13","Rashee Rice",KC,"WR7","3 out of 5 stars","2 out of 5 stars","+58"
"14","George Pickens",DAL,"WR8","3 out of 5 stars","2 out of 5 stars","+54"
"15","Josh Jacobs",GB,"RB7","4 out of 5 stars","3 out of 5 stars","+1"
"16","Javonte Williams",DAL,"RB8","3 out of 5 stars","4 out of 5 stars","+91"
"17","Bucky Irving",TB,"RB9","4 out of 5 stars","4 out of 5 stars","+7"
"18","A.J. Brown",PHI,"WR9","4 out of 5 stars","4 out of 5 stars","+3"
"19","Derrick Henry",BAL,"RB10","2 out of 5 stars","3 out of 5 stars","-9"
"20","Chase Brown",CIN,"RB11","4 out of 5 stars","4 out of 5 stars","+2"
"21","Josh Allen",BUF,"QB1","1 out of 5 stars","2 out of 5 stars","-1"
"22","Jaylen Waddle",MIA,"WR10","2 out of 5 stars","2 out of 5 stars","+50"
"23","Travis Etienne Jr.",JAC,"RB12","2 out of 5 stars","3 out of 5 stars","+69"
"24","Trey McBride",ARI,"TE1","3 out of 5 stars","3 out of 5 stars","+3"
"25","Drake Maye",NE,"QB2","4 out of 5 stars","4 out of 5 stars","+98"
"26","Kyren Williams",LAR,"RB13","2 out of 5 stars","2 out of 5 stars","-1"
"27","Jameson Williams",DET,"WR11","2 out of 5 stars","2 out of 5 stars","+30"
"28","Saquon Barkley",PHI,"RB14","5 out of 5 stars","4 out of 5 stars","-25"
"29","Chris Olave",NO,"WR12","5 out of 5 stars","4 out of 5 stars","+49"
"30","Tetairoa McMillan",CAR,"WR13","2 out of 5 stars","2 out of 5 stars","+26"
"31","Lamar Jackson",BAL,"QB3","4 out of 5 stars","5 out of 5 stars","-8"
"32","Michael Wilson",ARI,"WR14","3 out of 5 stars","3 out of 5 stars","+238"
"33","TreVeyon Henderson",NE,"RB15","4 out of 5 stars","5 out of 5 stars","+12"
"34","Wan'Dale Robinson",NYG,"WR15","2 out of 5 stars","3 out of 5 stars","+149"
"35","George Kittle",SF,"TE2","3 out of 5 stars","4 out of 5 stars","+2"
"36","Jalen Hurts",PHI,"QB4","5 out of 5 stars","5 out of 5 stars","-2"
"37","DeVonta Smith",PHI,"WR16","4 out of 5 stars","4 out of 5 stars","+18"
"38","Brock Bowers",LV,"TE3","2 out of 5 stars","1 out of 5 stars","-19"
"39","Tee Higgins",CIN,"WR17","4 out of 5 stars","4 out of 5 stars","-9"
"40","Ladd McConkey",LAC,"WR18","4 out of 5 stars","3 out of 5 stars","-14"
"41","Justin Jefferson",MIN,"WR19","3 out of 5 stars","4 out of 5 stars","-35"
"42","Zay Flowers",BAL,"WR20","4 out of 5 stars","3 out of 5 stars","+19"
"43","Emeka Egbuka",TB,"WR21","4 out of 5 stars","4 out of 5 stars","+39"
"44","Jakobi Meyers",JAC,"WR22","2 out of 5 stars","3 out of 5 stars","+44"
"45","Mike Evans",TB,"WR23","4 out of 5 stars","4 out of 5 stars","-5"
"46","Dak Prescott",DAL,"QB5","3 out of 5 stars","3 out of 5 stars","+48"
"47","RJ Harvey",DEN,"RB16","1 out of 5 stars","2 out of 5 stars","+12"
"48","Quinshon Judkins",CLE,"RB17","4 out of 5 stars","4 out of 5 stars","+70"
"49","Courtland Sutton",DEN,"WR24","2 out of 5 stars","2 out of 5 stars","+2"
"50","Ashton Jeanty",LV,"RB18","4 out of 5 stars","4 out of 5 stars","-39"
"51","Stefon Diggs",NE,"WR25","4 out of 5 stars","4 out of 5 stars","+35"
"52","DK Metcalf",PIT,"WR26","5 out of 5 stars","5 out of 5 stars","-4"
"53","Matthew Stafford",LAR,"QB6","2 out of 5 stars","2 out of 5 stars","+126"
"54","D'Andre Swift",CHI,"RB19","3 out of 5 stars","3 out of 5 stars","0"
"55","Rico Dowdle",CAR,"RB20","2 out of 5 stars","3 out of 5 stars","+150"
"56","Drake London",ATL,"WR27","3 out of 5 stars","2 out of 5 stars","-39"
"57","Breece Hall",NYJ,"RB21","3 out of 5 stars","2 out of 5 stars","-19"
"58","Terry McLaurin",WAS,"WR28","3 out of 5 stars","3 out of 5 stars","-19"
"59","Jauan Jennings",SF,"WR29","4 out of 5 stars","5 out of 5 stars","+45"
"60","Woody Marks",HOU,"RB22","2 out of 5 stars","3 out of 5 stars","+177"
"61","Jaylen Warren",PIT,"RB23","2 out of 5 stars","2 out of 5 stars","+23"
"62","Omarion Hampton",LAC,"RB24","4 out of 5 stars","3 out of 5 stars","-27"
"63","Michael Pittman Jr.",IND,"WR30","2 out of 5 stars","2 out of 5 stars","+45"
"64","Brian Thomas Jr.",JAC,"WR31","2 out of 5 stars","3 out of 5 stars","-49"
"65","Jaxson Dart",NYG,"QB7","3 out of 5 stars","4 out of 5 stars","+179"
"66","Joe Burrow",CIN,"QB8","4 out of 5 stars","3 out of 5 stars","-34"
"67","Khalil Shakir",BUF,"WR32","3 out of 5 stars","3 out of 5 stars","+34"
"68","Brock Purdy",SF,"QB9","3 out of 5 stars","4 out of 5 stars","+25"
"69","Christian Watson",GB,"WR33","4 out of 5 stars","3 out of 5 stars","+267"
"70","Deebo Samuel Sr.",WAS,"WR34","3 out of 5 stars","3 out of 5 stars","+9"
"71","Kenneth Walker III",SEA,"RB25","3 out of 5 stars","2 out of 5 stars","-28"
"72","Aaron Jones Sr.",MIN,"RB26","4 out of 5 stars","4 out of 5 stars","-5"
"73","Tyrone Tracy Jr.",NYG,"RB27","3 out of 5 stars","3 out of 5 stars","+2"
"74","Jacoby Brissett",ARI,"QB10","4 out of 5 stars","3 out of 5 stars","+606"
"75","Jayden Reed",GB,"WR35","4 out of 5 stars","3 out of 5 stars","+49"
"76","Marvin Harrison Jr.",ARI,"WR36","3 out of 5 stars","3 out of 5 stars","-32"
"77","Troy Franklin",DEN,"WR37","2 out of 5 stars","2 out of 5 stars","+196"
"78","Romeo Doubs",GB,"WR38","4 out of 5 stars","3 out of 5 stars","+114"
"79","Luther Burden III",CHI,"WR39","3 out of 5 stars","4 out of 5 stars","+96"
"80","Kyle Pitts Sr.",ATL,"TE4","3 out of 5 stars","4 out of 5 stars","+52"
"81","Travis Kelce",KC,"TE5","3 out of 5 stars","4 out of 5 stars","-18"
"82","Ricky Pearsall",SF,"WR40","4 out of 5 stars","5 out of 5 stars","+3"
"83","Keenan Allen",LAC,"WR41","4 out of 5 stars","3 out of 5 stars","+63"
"84","Alec Pierce",IND,"WR42","2 out of 5 stars","2 out of 5 stars","+163"
"85","Jayden Higgins",HOU,"WR43","2 out of 5 stars","2 out of 5 stars","+65"
"86","DJ Moore",CHI,"WR44","3 out of 5 stars","4 out of 5 stars","-36"
"87","Chris Godwin Jr.",TB,"WR45","4 out of 5 stars","4 out of 5 stars","+15"
"88","Jordan Addison",MIN,"WR46","3 out of 5 stars","4 out of 5 stars","+3"
"89","Jake Ferguson",DAL,"TE6","5 out of 5 stars","4 out of 5 stars","+47"
"90","Harold Fannin Jr.",CLE,"TE7","3 out of 5 stars","3 out of 5 stars","+169"
"91","Jared Goff",DET,"QB11","2 out of 5 stars","2 out of 5 stars","+9"
"92","Xavier Worthy",KC,"WR47","3 out of 5 stars","2 out of 5 stars","-39"
"93","Kayshon Boutte",NE,"WR48","4 out of 5 stars","4 out of 5 stars","+196"
"94","Adonai Mitchell",NYJ,"WR49","4 out of 5 stars","3 out of 5 stars","+212"
"95","Bo Nix",DEN,"QB12","2 out of 5 stars","2 out of 5 stars","-25"
"96","Tyler Warren",IND,"TE8","3 out of 5 stars","3 out of 5 stars","-9"
"97","Blake Corum",LAR,"RB28","2 out of 5 stars","2 out of 5 stars","+138"
"98","Caleb Williams",CHI,"QB13","4 out of 5 stars","3 out of 5 stars","+21"
"99","Dallas Goedert",PHI,"TE9","4 out of 5 stars","4 out of 5 stars","+41"
"100","Trevor Lawrence",JAC,"QB14","1 out of 5 stars","2 out of 5 stars","+58"
"101","Quentin Johnston",LAC,"WR50","4 out of 5 stars","3 out of 5 stars","+121"
"102","Jordan Love",GB,"QB15","4 out of 5 stars","2 out of 5 stars","+31"
"103","Davante Adams",LAR,"WR51","3 out of 5 stars","4 out of 5 stars","-61"
"104","Kyle Monangai",CHI,"RB29","3 out of 5 stars","3 out of 5 stars","+152"
"105","Baker Mayfield",TB,"QB16","4 out of 5 stars","4 out of 5 stars","-43"
"106","Dalton Kincaid",BUF,"TE10","1 out of 5 stars","2 out of 5 stars","+19"
"107","Rome Odunze",CHI,"WR52","3 out of 5 stars","4 out of 5 stars","-30"
"108","Darius Slayton",NYG,"WR53","2 out of 5 stars","3 out of 5 stars","+161"
"109","Justin Herbert",LAC,"QB17","3 out of 5 stars","3 out of 5 stars","+1"
"110","Darnell Mooney",ATL,"WR54","3 out of 5 stars","2 out of 5 stars","+27"
"111","C.J. Stroud",HOU,"QB18","2 out of 5 stars","2 out of 5 stars","+16"
"112","David Montgomery",DET,"RB30","3 out of 5 stars","2 out of 5 stars","-54"
"113","Dalton Schultz",HOU,"TE11","4 out of 5 stars","4 out of 5 stars","+116"
"114","Josh Downs",IND,"WR55","2 out of 5 stars","2 out of 5 stars","+7"
"115","Zach Charbonnet",SEA,"RB31","3 out of 5 stars","2 out of 5 stars","-10"
"116","Colston Loveland",CHI,"TE12","3 out of 5 stars","3 out of 5 stars","-3"
"117","Kenneth Gainwell",PIT,"RB32","2 out of 5 stars","2 out of 5 stars","+208"
"118","Rashid Shaheed",SEA,"WR56","3 out of 5 stars","3 out of 5 stars","+24"
"119","Hunter Henry",NE,"TE13","3 out of 5 stars","3 out of 5 stars","+41"
"120","Oronde Gadsden II",LAC,"TE14","3 out of 5 stars","3 out of 5 stars","+270"
"121","Brenton Strange",JAC,"TE15","3 out of 5 stars","3 out of 5 stars","+68"
"122","Jerry Jeudy",CLE,"WR57","3 out of 5 stars","4 out of 5 stars","-48"
"123","Sam Darnold",SEA,"QB19","3 out of 5 stars","2 out of 5 stars","+89"
"124","J.J. McCarthy",MIN,"QB20","3 out of 5 stars","5 out of 5 stars","+21"
"125","Chimere Dike",TEN,"WR58","3 out of 5 stars","3 out of 5 stars","+593"
"126","Theo Johnson",NYG,"TE16","3 out of 5 stars","4 out of 5 stars","+173"
"127","Tyler Shough",NO,"QB21","5 out of 5 stars","5 out of 5 stars","+192"
"128","John Metchie III",NYJ,"WR59","4 out of 5 stars","3 out of 5 stars","+227"
"129","Marcus Mariota",WAS,"QB22","4 out of 5 stars","4 out of 5 stars","+379"
"130","Mark Andrews",BAL,"TE17","4 out of 5 stars","4 out of 5 stars","-57"
"131","Michael Carter",ARI,"RB33","4 out of 5 stars","3 out of 5 stars","+524"
"132","Jalen Coker",CAR,"WR60","2 out of 5 stars","2 out of 5 stars","+128"
"133","Parker Washington",JAC,"WR61","2 out of 5 stars","3 out of 5 stars","+282"
"134","Juwan Johnson",NO,"TE18","4 out of 5 stars","3 out of 5 stars","+164"
"135","Tony Pollard",TEN,"RB34","2 out of 5 stars","3 out of 5 stars","-69"
"136","Devaughn Vele",NO,"WR62","5 out of 5 stars","4 out of 5 stars","+249"
"137","Chuba Hubbard",CAR,"RB35","2 out of 5 stars","3 out of 5 stars","-91"
"138","Jacory Croskey-Merritt",WAS,"RB36","4 out of 5 stars","5 out of 5 stars","-42"
"139","Tre Tucker",LV,"WR63","2 out of 5 stars","1 out of 5 stars","+219"
"140","Colby Parkinson",LAR,"TE19","3 out of 5 stars","2 out of 5 stars","+440"
"141","Bryce Young",CAR,"QB23","2 out of 5 stars","2 out of 5 stars","+41"
"142","Kareem Hunt",KC,"RB37","3 out of 5 stars","3 out of 5 stars","+54"
"143","AJ Barner",SEA,"TE20","2 out of 5 stars","3 out of 5 stars","+261"
"144","Rhamondre Stevenson",NE,"RB38","4 out of 5 stars","5 out of 5 stars","-33"
"145","Cooper Kupp",SEA,"WR64","3 out of 5 stars","3 out of 5 stars","-55"
"146","Chris Rodriguez Jr.",WAS,"RB39","4 out of 5 stars","5 out of 5 stars","+148"
"147","Isiah Pacheco",KC,"RB40","3 out of 5 stars","3 out of 5 stars","-87"
"148","Darren Waller",MIA,"TE21","5 out of 5 stars","5 out of 5 stars","+45"
"149","Mack Hollins",NE,"WR65","4 out of 5 stars","4 out of 5 stars","+247"
"150","Kimani Vidal",LAC,"RB41","4 out of 5 stars","3 out of 5 stars","+563"
"151","Cade Otton",TB,"TE22","3 out of 5 stars","2 out of 5 stars","+64"
"152","Aaron Rodgers",PIT,"QB24","3 out of 5 stars","3 out of 5 stars","+59"
"153","Shedeur Sanders",CLE,"QB25","3 out of 5 stars","4 out of 5 stars","+95"
"154","Isaiah Likely",BAL,"TE23","4 out of 5 stars","4 out of 5 stars","+32"
"155","Elic Ayomanor",TEN,"WR66","3 out of 5 stars","3 out of 5 stars","+98"
"156","Brian Robinson Jr.",SF,"RB42","3 out of 5 stars","3 out of 5 stars","-36"
"157","Tyler Allgeier",ATL,"RB43","3 out of 5 stars","3 out of 5 stars","+8"
"158","Evan Engram",DEN,"TE24","3 out of 5 stars","3 out of 5 stars","-77"
"159","Pat Bryant",DEN,"WR67","2 out of 5 stars","2 out of 5 stars","+115"
"160","Mike Gesicki",CIN,"TE25","4 out of 5 stars","3 out of 5 stars","+66"
"161","T.J. Hockenson",MIN,"TE26","2 out of 5 stars","3 out of 5 stars","-97"
"162","Malik Washington",MIA,"WR68","2 out of 5 stars","2 out of 5 stars","+165"
"163","Tyjae Spears",TEN,"RB44","2 out of 5 stars","3 out of 5 stars","+17"
"164","Kirk Cousins",ATL,"QB26","3 out of 5 stars","3 out of 5 stars","+137"
"165","Rachaad White",TB,"RB45","4 out of 5 stars","4 out of 5 stars","-22"
"166","Devin Singletary",NYG,"RB46","3 out of 5 stars","3 out of 5 stars","+124"
"167","Matthew Golden",GB,"WR69","4 out of 5 stars","3 out of 5 stars","-78"
"168","Jordan Mason",MIN,"RB47","4 out of 5 stars","4 out of 5 stars","-73"
"169","Emanuel Wilson",GB,"RB48","4 out of 5 stars","3 out of 5 stars","+153"
"170","Gunnar Helm",TEN,"TE27","3 out of 5 stars","3 out of 5 stars","+276"
"171","Tua Tagovailoa",MIA,"QB27","5 out of 5 stars","4 out of 5 stars","+3"
"172","Dontayvion Wicks",GB,"WR70","4 out of 5 stars","3 out of 5 stars","+114"
"173","Denver Broncos",DEN,"DST1","2 out of 5 stars","1 out of 5 stars","-74"
"174","Xavier Legette",CAR,"WR71","2 out of 5 stars","2 out of 5 stars","+2"
"175","Jonnu Smith",PIT,"TE28","2 out of 5 stars","2 out of 5 stars","-23"
"176","Samaje Perine",CIN,"RB49","4 out of 5 stars","4 out of 5 stars","+244"
"177","Marvin Mims Jr.",DEN,"WR72","2 out of 5 stars","2 out of 5 stars","-26"
"178","Philadelphia Eagles",PHI,"DST2","3 out of 5 stars","4 out of 5 stars","-66"
"179","Christian Kirk",HOU,"WR73","2 out of 5 stars","2 out of 5 stars","-30"
"180","Houston Texans",HOU,"DST3","5 out of 5 stars","5 out of 5 stars","-42"
"181","Tre Harris",LAC,"WR74","4 out of 5 stars","3 out of 5 stars","+44"
"182","Luke Musgrave",GB,"TE29","2 out of 5 stars","2 out of 5 stars","+155"
"183","DeMario Douglas",NE,"WR75","4 out of 5 stars","4 out of 5 stars","+12"
"184","Pat Freiermuth",PIT,"TE30","2 out of 5 stars","2 out of 5 stars","+26"
"185","Keon Coleman",BUF,"WR76","3 out of 5 stars","3 out of 5 stars","-69"
"186","Cam Ward",TEN,"QB28","1 out of 5 stars","2 out of 5 stars","-9"
"187","Taysom Hill",NO,"TE31","4 out of 5 stars","3 out of 5 stars","+104"
"188","Ryan Flournoy",DAL,"WR77","3 out of 5 stars","2 out of 5 stars","+676"
"189","Pittsburgh Steelers",PIT,"DST4","3 out of 5 stars","3 out of 5 stars","-60"
"190","Darnell Washington",PIT,"TE32","2 out of 5 stars","2 out of 5 stars","+158"
"191","Sean Tucker",TB,"RB50","4 out of 5 stars","4 out of 5 stars","+114"
"192","Brandon Aubrey",DAL,"K1","4 out of 5 stars","4 out of 5 stars","-89"
"193","Ollie Gordon II",MIA,"RB51","4 out of 5 stars","3 out of 5 stars","-34"
"194","Andrei Iosivas",CIN,"WR78","4 out of 5 stars","4 out of 5 stars","+99"
"195","Chig Okonkwo",TEN,"TE33","3 out of 5 stars","3 out of 5 stars","+35"
"196","Marquise Brown",KC,"WR79","3 out of 5 stars","2 out of 5 stars","-30"
"197","Mason Taylor",NYJ,"TE34","3 out of 5 stars","3 out of 5 stars","+44"
"198","New England Patriots",NE,"DST5","4 out of 5 stars","3 out of 5 stars","+16"
"199","Green Bay Packers",GB,"DST6","2 out of 5 stars","2 out of 5 stars","-42"
"200","Buffalo Bills",BUF,"DST7","4 out of 5 stars","4 out of 5 stars","-66"
"201","Seattle Seahawks",SEA,"DST8","3 out of 5 stars","2 out of 5 stars","-14"
"202","Tez Johnson",TB,"WR80","4 out of 5 stars","4 out of 5 stars","+138"
"203","Cameron Dicker",LAC,"K2","3 out of 5 stars","2 out of 5 stars","-75"
"204","Calvin Austin III",PIT,"WR81","5 out of 5 stars","5 out of 5 stars","+60"
"205","Ka'imi Fairbairn",HOU,"K3","4 out of 5 stars","5 out of 5 stars","-38"
"206","Alvin Kamara",NO,"RB52","5 out of 5 stars","5 out of 5 stars","-170"
"207","Jake Bates",DET,"K4","4 out of 5 stars","3 out of 5 stars","-81"
"208","Olamide Zaccheaus",CHI,"WR82","3 out of 5 stars","4 out of 5 stars","+134"
