"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"209","Jeremy McNichols",WAS,"RB53","4 out of 5 stars","5 out of 5 stars","+243"
"210","Jaleel McLaughlin",DEN,"RB54","1 out of 5 stars","2 out of 5 stars","+92"
"211","Jaylen Wright",MIA,"RB55","4 out of 5 stars","3 out of 5 stars","+25"
"212","Jack Bech",LV,"WR83","2 out of 5 stars","1 out of 5 stars","+31"
"213","Audric Estime",NO,"RB56","5 out of 5 stars","5 out of 5 stars","+125"
"214","Isaiah Bond",CLE,"WR84","3 out of 5 stars","4 out of 5 stars","+315"
"215","Chase McLaughlin",TB,"K5","3 out of 5 stars","4 out of 5 stars","-71"
"216","Kansas City Chiefs",KC,"DST9","4 out of 5 stars","4 out of 5 stars","-43"
"217","Tyler Loop",BAL,"K6","2 out of 5 stars","3 out of 5 stars","-33"
"218","Minnesota Vikings",MIN,"DST10","2 out of 5 stars","1 out of 5 stars","-77"
"219","Detroit Lions",DET,"DST11","4 out of 5 stars","3 out of 5 stars","-55"
"220","Isaac TeSlaa",DET,"WR85","2 out of 5 stars","2 out of 5 stars","-4"
"221","Jacksonville Jaguars",JAC,"DST12","1 out of 5 stars","2 out of 5 stars","+91"
"222","Philip Rivers",IND,"QB29","4 out of 5 stars","2 out of 5 stars","-"
"223","Wil Lutz",DEN,"K7","1 out of 5 stars","1 out of 5 stars","-38"
"224","Emari Demercado",ARI,"RB57","4 out of 5 stars","3 out of 5 stars","+438"
"225","Jaylin Noel",HOU,"WR86","2 out of 5 stars","2 out of 5 stars","+33"
"226","Tyler Lockett",LV,"WR87","2 out of 5 stars","1 out of 5 stars","+58"
"227","David Njoku",CLE,"TE35","3 out of 5 stars","3 out of 5 stars","-147"
"228","San Francisco 49ers",SF,"DST13","1 out of 5 stars","2 out of 5 stars","-67"
"229","Tampa Bay Buccaneers",TB,"DST14","4 out of 5 stars","4 out of 5 stars","-21"
"230","Noah Fant",CIN,"TE36","4 out of 5 stars","3 out of 5 stars","+93"
"231","Ty Johnson",BUF,"RB58","2 out of 5 stars","2 out of 5 stars","+82"
"232","Jalen Nailor",MIN,"WR88","3 out of 5 stars","4 out of 5 stars","+148"
"233","Los Angeles Rams",LAR,"DST15","2 out of 5 stars","1 out of 5 stars","-31"
"234","Rashod Bateman",BAL,"WR89","4 out of 5 stars","3 out of 5 stars","-64"
"235","Dawson Knox",BUF,"TE37","1 out of 5 stars","2 out of 5 stars","+75"
"236","Kendrick Bourne",SF,"WR90","4 out of 5 stars","5 out of 5 stars","+454"
"237","Cleveland Browns",CLE,"DST16","2 out of 5 stars","1 out of 5 stars","+8"
"238","Jawhar Jordan",HOU,"RB59","2 out of 5 stars","3 out of 5 stars","+628"
"239","Cam Little",JAC,"K8","4 out of 5 stars","4 out of 5 stars","-61"
"240","Baltimore Ravens",BAL,"DST17","2 out of 5 stars","3 out of 5 stars","-123"
"241","Isaiah Davis",NYJ,"RB60","3 out of 5 stars","2 out of 5 stars","+436"
"242","Bhayshul Tuten",JAC,"RB61","2 out of 5 stars","3 out of 5 stars","-94"
"243","Dyami Brown",JAC,"WR91","2 out of 5 stars","3 out of 5 stars","+33"
"244","Los Angeles Chargers",LAC,"DST18","1 out of 5 stars","1 out of 5 stars","-45"
"245","Gardner Minshew II",KC,"QB30","3 out of 5 stars","1 out of 5 stars","+143"
"246","DeAndre Hopkins",BAL,"WR92","4 out of 5 stars","3 out of 5 stars","-12"
"247","Tank Bigsby",PHI,"RB62","5 out of 5 stars","4 out of 5 stars","-116"
"248","Ja'Tavion Sanders",CAR,"TE38","4 out of 5 stars","4 out of 5 stars","-6"
"249","Evan McPherson",CIN,"K9","4 out of 5 stars","5 out of 5 stars","-55"
"250","Joshua Palmer",BUF,"WR93","3 out of 5 stars","3 out of 5 stars","-19"
"251","Cedric Tillman",CLE,"WR94","3 out of 5 stars","4 out of 5 stars","-61"
"252","Dylan Sampson",CLE,"RB63","4 out of 5 stars","4 out of 5 stars","-84"
"253","Nick Chubb",HOU,"RB64","2 out of 5 stars","3 out of 5 stars","-131"
"254","Chris Boswell",PIT,"K10","3 out of 5 stars","3 out of 5 stars","-99"
"255","Kyle Williams",NE,"WR95","4 out of 5 stars","4 out of 5 stars","-23"
"256","Jordan Whittington",LAR,"WR96","3 out of 5 stars","4 out of 5 stars","+116"
"257","Tyler Badie",DEN,"RB65","1 out of 5 stars","2 out of 5 stars","+265"
"258","Sterling Shepard",TB,"WR97","4 out of 5 stars","4 out of 5 stars","+192"
"259","Keaton Mitchell",BAL,"RB66","2 out of 5 stars","3 out of 5 stars","-8"
"260","Terrance Ferguson",LAR,"TE39","3 out of 5 stars","2 out of 5 stars","+17"
"261","Geno Smith",LV,"QB31","2 out of 5 stars","1 out of 5 stars","-70"
"262","Cole Kmet",CHI,"TE40","3 out of 5 stars","3 out of 5 stars","-5"
"263","Roman Wilson",PIT,"WR98","5 out of 5 stars","5 out of 5 stars","+19"
"264","Brashard Smith",KC,"RB67","3 out of 5 stars","3 out of 5 stars","+3"
"265","Ray Davis",BUF,"RB68","2 out of 5 stars","2 out of 5 stars","-93"
"266","Kenny Pickett",LV,"QB32","2 out of 5 stars","1 out of 5 stars","+112"
"267","Tyquan Thornton",KC,"WR99","3 out of 5 stars","2 out of 5 stars","+130"
"268","Jason Myers",SEA,"K11","3 out of 5 stars","3 out of 5 stars","+63"
"269","Ben Sinnott",WAS,"TE41","3 out of 5 stars","2 out of 5 stars","+95"
"270","Harrison Butker",KC,"K12","4 out of 5 stars","4 out of 5 stars","-101"
"271","Eddy Pineiro",SF,"K13","2 out of 5 stars","3 out of 5 stars","+178"
"272","Elijah Arroyo",SEA,"TE42","2 out of 5 stars","3 out of 5 stars","-26"
"273","New Orleans Saints",NO,"DST19","5 out of 5 stars","5 out of 5 stars","-2"
"274","Dallas Cowboys",DAL,"DST20","5 out of 5 stars","5 out of 5 stars","-74"
"275","Matt Prater",BUF,"K14","4 out of 5 stars","3 out of 5 stars","+210"
"276","LeQuint Allen Jr.",JAC,"RB69","2 out of 5 stars","3 out of 5 stars","+544"
"277","KaVontae Turpin",DAL,"WR100","3 out of 5 stars","2 out of 5 stars","+74"
"278","New York Giants",NYG,"DST21","5 out of 5 stars","5 out of 5 stars","-75"
"279","Jalen McMillan",TB,"WR101","4 out of 5 stars","4 out of 5 stars","+9"
"280","Dont'e Thornton Jr.",LV,"WR102","2 out of 5 stars","1 out of 5 stars","-62"
"281","Justin Fields",NYJ,"QB33","3 out of 5 stars","3 out of 5 stars","-167"
"282","Jaylin Lane",WAS,"WR103","3 out of 5 stars","3 out of 5 stars","+217"
"283","Tyrod Taylor",NYJ,"QB34","3 out of 5 stars","3 out of 5 stars","+348"
"284","Will Shipley",PHI,"RB70","5 out of 5 stars","4 out of 5 stars","-83"
"285","Jake Elliott",PHI,"K15","3 out of 5 stars","3 out of 5 stars","-123"
"286","Chris Brooks",GB,"RB71","4 out of 5 stars","3 out of 5 stars","+220"
"287","Jerome Ford",CLE,"RB72","4 out of 5 stars","4 out of 5 stars","-131"
"288","Xavier Hutchinson",HOU,"WR104","2 out of 5 stars","2 out of 5 stars","+380"
"289","Tutu Atwell",LAR,"WR105","3 out of 5 stars","4 out of 5 stars","+31"
"290","Tyler Bass",BUF,"K16","4 out of 5 stars","3 out of 5 stars","-127"
"291","Will Reichard",MIN,"K17","4 out of 5 stars","5 out of 5 stars","-70"
"292","Kaleb Johnson",PIT,"RB73","2 out of 5 stars","2 out of 5 stars","-216"
"293","Matt Gay",FA,"K18","-","-","-87"
"294","Josh Oliver",MIN,"TE43","2 out of 5 stars","3 out of 5 stars","+72"
"295","Arizona Cardinals",ARI,"DST22","4 out of 5 stars","3 out of 5 stars","-107"
"296","Jaydon Blue",DAL,"RB74","3 out of 5 stars","4 out of 5 stars","-157"
"297","DJ Giddens",IND,"RB75","3 out of 5 stars","2 out of 5 stars","-45"
"298","Harrison Mevis",LAR,"K19","2 out of 5 stars","3 out of 5 stars","+103"
"299","Jason Sanders",MIA,"K20","4 out of 5 stars","4 out of 5 stars","-92"
"300","Brandon McManus",GB,"K21","4 out of 5 stars","4 out of 5 stars","-81"
"301","Trevor Etienne",CAR,"RB76","2 out of 5 stars","3 out of 5 stars","-33"
"302","Hassan Haskins",LAC,"RB77","4 out of 5 stars","3 out of 5 stars","+316"
"303","Michael Mayer",LV,"TE44","2 out of 5 stars","1 out of 5 stars","+32"
"304","Sam LaPorta",DET,"TE45","3 out of 5 stars","2 out of 5 stars","-252"
"305","Cairo Santos",CHI,"K22","1 out of 5 stars","2 out of 5 stars","-18"
"306","Andy Borregales",NE,"K23","5 out of 5 stars","5 out of 5 stars","-3"
"307","Tommy Tremble",CAR,"TE46","4 out of 5 stars","4 out of 5 stars","+216"
"308","Indianapolis Colts",IND,"DST23","2 out of 5 stars","1 out of 5 stars","-46"
"309","Greg Dortch",ARI,"WR106","3 out of 5 stars","3 out of 5 stars","+308"
"310","Riley Leonard",IND,"QB35","4 out of 5 stars","2 out of 5 stars","+259"
"311","Austin Hooper",NE,"TE47","3 out of 5 stars","3 out of 5 stars","+43"
"312","Greg Dulcich",MIA,"TE48","5 out of 5 stars","5 out of 5 stars","+497"
"313","Tahj Brooks",CIN,"RB78","4 out of 5 stars","4 out of 5 stars","-80"
"314","Brandon Aiyuk",SF,"WR107","4 out of 5 stars","5 out of 5 stars","-167"
"315","Jarquez Hunter",LAR,"RB79","2 out of 5 stars","2 out of 5 stars","-34"
"316","Matthew Wright",FA,"K24","-","-","+100"
"317","Justice Hill",BAL,"RB80","2 out of 5 stars","3 out of 5 stars","-79"
"318","Younghoe Koo",FA,"K25","-","-","-121"
"319","Jeremy Ruckert",NYJ,"TE49","3 out of 5 stars","3 out of 5 stars","+346"
"320","Jahan Dotson",PHI,"WR108","4 out of 5 stars","4 out of 5 stars","+12"
"321","JuJu Smith-Schuster",KC,"WR109","3 out of 5 stars","2 out of 5 stars","-5"
"322","MarShawn Lloyd",GB,"RB81","4 out of 5 stars","3 out of 5 stars","-22"
"323","Isaac Guerendo",SF,"RB82","3 out of 5 stars","3 out of 5 stars","-114"
"324","Miami Dolphins",MIA,"DST24","4 out of 5 stars","3 out of 5 stars","-97"
"325","Tory Horton",SEA,"WR110","3 out of 5 stars","3 out of 5 stars","-70"
"326","Josh Reynolds",NYJ,"WR111","4 out of 5 stars","3 out of 5 stars","+149"
"327","Brady Cook",NYJ,"QB36","3 out of 5 stars","3 out of 5 stars","+523"
"328","Brock Wright",DET,"TE50","3 out of 5 stars","2 out of 5 stars","+41"
"329","Tyler Higbee",LAR,"TE51","3 out of 5 stars","2 out of 5 stars","-18"
"330","Tyler Johnson",NYJ,"WR112","4 out of 5 stars","3 out of 5 stars","+381"
"331","John FitzPatrick",GB,"TE52","2 out of 5 stars","2 out of 5 stars","+227"
"332","Savion Williams",GB,"WR113","4 out of 5 stars","3 out of 5 stars","+80"
"333","Evan Hull",NO,"RB83","5 out of 5 stars","5 out of 5 stars","+500"
"334","Chad Ryland",ARI,"K26","4 out of 5 stars","3 out of 5 stars","+5"
"335","Demarcus Robinson",SF,"WR114","4 out of 5 stars","5 out of 5 stars","+63"
"336","J.K. Dobbins",DEN,"RB84","1 out of 5 stars","2 out of 5 stars","-238"
"337","Jake Moody",WAS,"K27","5 out of 5 stars","5 out of 5 stars","-114"
"338","Joshua Karty",LAR,"K28","2 out of 5 stars","3 out of 5 stars","-53"
"339","Roschon Johnson",CHI,"RB85","3 out of 5 stars","3 out of 5 stars","-115"
"340","KeAndre Lambert-Smith",LAC,"WR115","4 out of 5 stars","3 out of 5 stars","-11"
"341","Cade Stover",HOU,"TE53","4 out of 5 stars","4 out of 5 stars","+137"
"342","Adam Thielen",PIT,"WR116","5 out of 5 stars","5 out of 5 stars","-171"
"343","Hunter Long",JAC,"TE54","3 out of 5 stars","3 out of 5 stars","+454"
"344","David Sills V",ATL,"WR117","3 out of 5 stars","2 out of 5 stars","+575"
"345","Jalen Tolbert",DAL,"WR118","3 out of 5 stars","2 out of 5 stars","+7"
"346","Braelon Allen",NYJ,"RB86","3 out of 5 stars","2 out of 5 stars","-211"
"347","Jackson Hawes",BUF,"TE55","1 out of 5 stars","2 out of 5 stars","+288"
"348","Noah Gray",KC,"TE56","3 out of 5 stars","4 out of 5 stars","-83"
"349","Quinn Ewers",MIA,"QB37","5 out of 5 stars","4 out of 5 stars","+54"
"350","Luke McCaffrey",WAS,"WR119","3 out of 5 stars","3 out of 5 stars","-53"
"351","Washington Commanders",WAS,"DST25","1 out of 5 stars","2 out of 5 stars","-153"
"352","A.J. Dillon",PHI,"RB87","5 out of 5 stars","4 out of 5 stars","-31"
"353","Jalen Royals",KC,"WR120","3 out of 5 stars","2 out of 5 stars","-58"
"354","New York Jets",NYJ,"DST26","4 out of 5 stars","3 out of 5 stars","-150"
"355","Joe Mixon",HOU,"RB88","2 out of 5 stars","3 out of 5 stars","-240"
"356","Dameon Pierce",KC,"RB89","3 out of 5 stars","3 out of 5 stars","-60"
"357","Raheem Mostert",LV,"RB90","4 out of 5 stars","4 out of 5 stars","-137"
"358","George Holani",SEA,"RB91","3 out of 5 stars","2 out of 5 stars","+155"
"359","Zamir White",LV,"RB92","4 out of 5 stars","4 out of 5 stars","-35"
"360","Mason Rudolph",PIT,"QB38","3 out of 5 stars","3 out of 5 stars","+8"
"361","Tim Patrick",JAC,"WR121","2 out of 5 stars","3 out of 5 stars","+73"
"362","Adam Trautman",DEN,"TE57","3 out of 5 stars","3 out of 5 stars","+43"
"363","Daniel Carlson",LV,"K29","2 out of 5 stars","3 out of 5 stars","-146"
"364","Hunter Renfrow",CAR,"WR122","2 out of 5 stars","2 out of 5 stars","-21"
"365","Mitchell Evans",CAR,"TE58","4 out of 5 stars","4 out of 5 stars","+74"
"366","Jameis Winston",NYG,"QB39","3 out of 5 stars","4 out of 5 stars","-51"
"367","Isaiah Hodgins",NYG,"WR123","2 out of 5 stars","3 out of 5 stars","+404"
"368","Jake Tonges",SF,"TE59","3 out of 5 stars","4 out of 5 stars","+439"
"369","Tyler Conklin",LAC,"TE60","3 out of 5 stars","3 out of 5 stars","-89"
"370","Dare Ogunbowale",HOU,"RB93","2 out of 5 stars","3 out of 5 stars","+321"
"371","Mitch Tinsley",CIN,"WR124","4 out of 5 stars","4 out of 5 stars","-8"
"372","Jared Wiley",KC,"TE61","3 out of 5 stars","4 out of 5 stars","+233"
"373","Drew Sample",CIN,"TE62","4 out of 5 stars","3 out of 5 stars","+120"
"374","Davis Allen",LAR,"TE63","3 out of 5 stars","2 out of 5 stars","+318"
"375","Curtis Samuel",BUF,"WR125","3 out of 5 stars","3 out of 5 stars","+24"
"376","Lil'Jordan Humphrey",DEN,"WR126","2 out of 5 stars","2 out of 5 stars","+198"
"377","Arian Smith",NYJ,"WR127","4 out of 5 stars","3 out of 5 stars","+259"
"378","Aidan O'Connell",LV,"QB40","2 out of 5 stars","1 out of 5 stars","+289"
"379","Van Jefferson",TEN,"WR128","3 out of 5 stars","3 out of 5 stars","+158"
"380","Nick Westbrook-Ikhine",MIA,"WR129","2 out of 5 stars","2 out of 5 stars","-15"
"381","Chris Moore",WAS,"WR130","3 out of 5 stars","3 out of 5 stars","+361"
"382","Malik Davis",DAL,"RB94","3 out of 5 stars","4 out of 5 stars","+563"
"383","Jordan James",SF,"RB95","3 out of 5 stars","3 out of 5 stars","-79"
"384","Elijah Mitchell",FA,"RB96","-","-","-121"
"385","Konata Mumpfield",LAR,"WR131","3 out of 5 stars","4 out of 5 stars","+201"
"386","Julius Chestnut",TEN,"RB97","2 out of 5 stars","3 out of 5 stars","+253"
"387","Max Brosmer",MIN,"QB41","3 out of 5 stars","5 out of 5 stars","+452"
"388","John Bates",WAS,"TE64","3 out of 5 stars","2 out of 5 stars","+84"
"389","Phil Mafah",DAL,"RB98","3 out of 5 stars","4 out of 5 stars","+218"
"390","Joe Flacco",CIN,"QB42","4 out of 5 stars","3 out of 5 stars","-151"
"391","Grant Calcaterra",PHI,"TE65","4 out of 5 stars","4 out of 5 stars","-38"
"392","Kalel Mullings",TEN,"RB99","2 out of 5 stars","3 out of 5 stars","+223"
"393","Mac Jones",SF,"QB43","3 out of 5 stars","4 out of 5 stars","+2"
"394","Jaret Patterson",LAC,"RB100","4 out of 5 stars","3 out of 5 stars","+410"
"395","Hunter Luepke",DAL,"RB101","3 out of 5 stars","4 out of 5 stars","+231"
"396","Davis Mills",HOU,"QB44","2 out of 5 stars","2 out of 5 stars","+398"
"397","Dillon Gabriel",CLE,"QB45","3 out of 5 stars","4 out of 5 stars","+216"
"398","Elijah Higgins",ARI,"TE66","3 out of 5 stars","3 out of 5 stars","-28"
"399","Spencer Rattler",NO,"QB46","5 out of 5 stars","5 out of 5 stars","-8"
"400","Malik Willis",GB,"QB47","4 out of 5 stars","2 out of 5 stars","-13"
"401","Jake Browning",CIN,"QB48","4 out of 5 stars","3 out of 5 stars","+17"
"402","Brandin Cooks",BUF,"WR132","3 out of 5 stars","3 out of 5 stars","-28"
"403","Mason Tipton",NO,"WR133","5 out of 5 stars","4 out of 5 stars","+483"
"404","Ameer Abdullah",IND,"RB102","3 out of 5 stars","2 out of 5 stars","+333"
"405","Rasheen Ali",BAL,"RB103","2 out of 5 stars","3 out of 5 stars","+133"
"406","Tanner Hudson",CIN,"TE67","4 out of 5 stars","3 out of 5 stars","+244"
"407","Jalen Brooks",ARI,"WR134","3 out of 5 stars","3 out of 5 stars","+314"
"408","Devin Culp",TB,"TE68","3 out of 5 stars","2 out of 5 stars","+323"
"409","Kyle Juszczyk",SF,"RB104","3 out of 5 stars","3 out of 5 stars","+18"
"410","Kevin Austin Jr.",NO,"WR135","5 out of 5 stars","4 out of 5 stars","+411"
"411","Treylon Burks",WAS,"WR136","3 out of 5 stars","3 out of 5 stars","+294"
"412","Tyrell Shavers",BUF,"WR137","3 out of 5 stars","3 out of 5 stars","+7"
"413","Trey Lance",LAC,"QB49","3 out of 5 stars","3 out of 5 stars","+63"
"414","Trayveon Williams",CLE,"RB105","4 out of 5 stars","4 out of 5 stars","+343"
"415","Corey Kiner",ARI,"RB106","4 out of 5 stars","3 out of 5 stars","+86"
"416","Alec Ingold",MIA,"RB107","4 out of 5 stars","3 out of 5 stars","+283"
"417","Anthony Richardson Sr.",IND,"QB50","4 out of 5 stars","2 out of 5 stars","-168"